section,sample_id,date,label,invsimpson,temp[C]
81RABR,R45_10_18_21,2021_10_18,16sD,22.524545968405,20.0
81RABR,R45_11_15_21,2021_11_15,16sD,16.6709403264082,20.0
81RABR,R46_11_05_21,2021_11_05,16sD,18.940440300807,
81RABR,R58_10_28_21,2021_10_28,16sD,21.7122979813069,20.0
81RABR,R60_11_15_21,2021_11_15,16sD,16.3719736880857,10.0
81RABR,R60_11_15_21,2021_11_01,16sD,10.9612405452983,10.0
81RABR,R72_11_15_21,2021_11_15,16sD,14.7934688794464,10.0
81RABR,R7_11_15_21,2021_11_15,16sD,16.1885768883018,30.0
pilot,P_10_12_23,2023_10_12,16sD,23.8723467672717,
pilot,P_10_12_23_S2,2023_10_12,16sD,33.2388927525804,
pilot,P_10_12_23_S3,2023_10_12,16sD,25.4308729373796,
TF,TF_11_09_21,2021_11_09,16sD,50.9380272952854,
TF,TF_05_25_22,2022_05_25,16sD,29.0811723355381,
TF,TF_06_22_22,2022_06_22,16sD,20.096892227736,
TF,TF_06_09_22,2022_06_09,16sD,29.1399841386824,
TF,TF_07_06_21,2021_07_06,16sD,55.4617342609876,
TF,TF_09_11_21,2021_09_11,16sD,47.196014986376,
pilot,P_10_05_23,2023_10_05,18s,15.7440112511347,
pilot,P_11_02_23,2023_11_02,18s,8.5769066743914,
pilot,P_11_02_23_S2,2023_11_02,18s,11.624316274812,
pilot,P_10_19_23,2023_10_19,18s,3.99529214528142,
pilot,P_10_26_23,2023_10_26,18s,6.55921181838274,
control,Control_1,2023_12_05,18s,2.12415715611828,
control,Control_2,2023_12_05,18s,2.07807357417345,
81RABR,R27_11_03_21,2021_11_03,18s,8.81634404187971,30.0
81RABR,R36_10_28_21,2021_10_28,18s,10.742615400709,20.0
81RABR,R43_11_15_21,2021_11_15,18s,2.88845384847956,10.0
81RABR,R45_10_18_21,2021_10_18,18s,4.9608765921831,20.0
81RABR,R45_11_15_21,2021_11_15,18s,5.79656711658702,20.0
81RABR,R46_11_05_21,2021_11_05,18s,8.67131643414868,
81RABR,R58_10_28_21,2021_10_28,18s,12.8753177587257,20.0
81RABR,R60_11_15_21,2021_11_15,18s,5.46439792833162,10.0
81RABR,R60_11_15_21,2021_11_01,18s,5.1511291855134,10.0
81RABR,R72_11_15_21,2021_11_15,18s,6.94281994423003,10.0
81RABR,R75_11_15_21,2021_11_15,18s,6.65618785210229,
81RABR,R7_11_15_21,2021_11_15,18s,12.6121520009081,30.0
pilot,P_10_12_23,2023_10_12,18s,7.3086066350906,
pilot,P_10_12_23_S2,2023_10_12,18s,5.37048444651066,
pilot,P_10_12_23_S3,2023_10_12,18s,7.28657649715042,
TF,TF_05_25_22,2022_05_25,18s,2.90658750698089,
TF,TF_06_22_22,2022_06_22,18s,6.95319956971651,
TF,TF_06_09_22,2022_06_09,18s,2.87993974873965,
pilot,P_10_05_23,2023_10_05,23s,40.4460551710437,
pilot,P_11_02_23,2023_11_02,23s,15.3242876032622,
pilot,P_11_02_23_S2,2023_11_02,23s,11.4673469653495,
pilot,P_10_19_23,2023_10_19,23s,20.2138404747803,
pilot,P_10_26_23,2023_10_26,23s,12.9559624863364,
control,Control_1,2023_12_05,23s,7.4524809515849,
control,Control_2,2023_12_05,23s,7.41500037742098,
81RABR,R27_11_03_21,2021_11_03,23s,13.4104180206698,30.0
81RABR,R36_10_28_21,2021_10_28,23s,13.2192175336603,20.0
81RABR,R43_11_15_21,2021_11_15,23s,11.0906676537279,10.0
81RABR,R45_10_18_21,2021_10_18,23s,12.9388352317394,20.0
81RABR,R45_11_15_21,2021_11_15,23s,5.79245101613534,20.0
81RABR,R46_11_05_21,2021_11_05,23s,26.6637589857079,
81RABR,R58_10_28_21,2021_10_28,23s,9.04703162885458,20.0
81RABR,R60_11_15_21,2021_11_15,23s,7.65963824222084,10.0
81RABR,R60_11_15_21,2021_11_01,23s,4.94979468878746,10.0
81RABR,R72_11_15_21,2021_11_15,23s,12.835648194722,10.0
81RABR,R75_11_15_21,2021_11_15,23s,8.25804976423659,
81RABR,R7_11_15_21,2021_11_15,23s,10.8227278028865,30.0
pilot,P_10_12_23,2023_10_12,23s,26.8679124950293,
pilot,P_10_12_23_S2,2023_10_12,23s,29.5371162419717,
pilot,P_10_12_23_S3,2023_10_12,23s,25.8765067209896,
TF,TF_05_25_22,2022_05_25,23s,17.5219700769593,
TF,TF_06_22_22,2022_06_22,23s,7.36869928576004,
TF,TF_06_09_22,2022_06_09,23s,30.2115499407535,
